Shape,Year,Site_Name,Name,Nest_ID,POINT_X,POINT_Y,Nest,Develop,Jetty,Saltmarsh,Elevation,Development,Dune,Bay,Mudflat,Inlet
Point,2012,Little Beach,LIBE03-1,2012LIBE03-1,544966.7486,237015.6559,1,0,22120.11658,390.216736,1.317946,9579.83402,122.231354,358.950067,1674.225895,358.950125
Point,2012,Little Beach,LIBE04-1,2012LIBE04-1,541783.4987,242420.116,1,0,20789.09098,202.374718,2.255927,3615.71441,71.394235,159.871043,574.964352,374.281854
Point,2012,Little Beach,LIBE05-1,2012LIBE05-1,544602.364,232934.8405,1,0,24108.32223,889.935213,4.241286,13409.8607,549.479429,1381.549535,1227.817639,4423.161437
Point,2012,Little Beach,LIBE06-1,2012LIBE06-1,540793.0721,226216.0351,1,0,16390.08287,24.705993,5.376822,15440.84379,3305.622098,890.358972,1870.090373,447.546063
Point,2012,Little Beach,LIBE07-1,2012LIBE07-1,543938.5462,232203.6833,1,0,23153.26094,242.385054,6.358687,14005.58031,43.476258,1735.77536,1555.677564,5261.726504
Point,2012,Little Beach,LIBE08-1,2012LIBE08-1,542974.0169,241041.983,1,0,20664.95882,361.658689,4.912734,5143.892699,55.070778,144.009554,1446.62136,122.755037
Point,2012,North Brigantine Natural Area,NBNA01-1,2012NBNA01-1,539993.628,223023.2667,1,0,13202.59379,628.309289,3.920477,12668.9243,51.800926,726.061286,1171.999367,1442.973518
Point,2012,North Brigantine Natural Area,NBNA02-1,2012NBNA02-1,539449.191,223322.7276,1,0,13202.47087,873.966558,2.728949,12454.59129,445.953604,124.276811,1006.492318,1310.723583
Point,2012,North Brigantine Natural Area,NBNA03-1,2012NBNA03-1,539829.699,223836.8616,1,0,13834.53348,1334.873271,3.340384,13082.72799,859.663926,288.567653,1558.762123,683.331297
Point,2012,North Brigantine Natural Area,NBNA04-1,2012NBNA04-1,540121.1729,223589.5395,1,0,13757.35618,1208.600117,1.813368,13133.4607,603.828741,666.615918,1626.144078,872.454951
Point,2012,North Brigantine Natural Area,SHMA01-1,2012SHMA01-1,480139.4781,174493.723,1,0,3283.948841,331.588973,3.903403,1325.072916,10.344201,138.513055,1235.791585,3401.850655
Point,2012,North Brigantine Natural Area,SHMA02-1,2012SHMA02-1,479683.6693,174457.52,1,0,3453.905946,207.995457,4.572997,1767.800984,43.423553,107.919765,932.550914,3533.195761
Point,2012,Malibu WMA,MWMA01-1,2012MWMA01-1,479194.4284,174331.0187,1,0,3621.282695,142.057014,3.663306,2272.74751,169.566898,43.669383,878.593001,3608.253613
Point,2012,Corson's Inlet - Sodbanks,CISB01-1,2012CISB01-1,447502.0699,135596.7324,1,0,602.890238,172.998111,3.552067,1506.772191,97.809401,128.215687,120.63827,881.968518
Point,2012,Strathmere Natural Area,SNA01-1,2012SNA01-1,449009.9316,134491.3565,1,1,2133.787151,1809.408168,2.586816,131.66916,114.930573,356.681457,1717.498071,548.487008
Point,2012,Strathmere Natural Area,SNA02-1,2012SNA02-1,449146.0073,134357.4668,1,1,2323.266185,1991.414645,3.668576,138.493114,131.301253,325.115381,1906.265107,605.395105
Point,2012,Strathmere - Upper Township,SMUT01-1,2012SMUT01-1,448486.8533,132333.2581,1,1,653.313372,1735.808337,2.642899,251.933546,132.251376,1170.054315,3110.684142,2707.102629
Point,2012,Avalon - Dunes,AVDU01-1,2012AVDU01-1,425035.9869,88185.35093,1,1,6778.038092,2085.20343,5.132691,574.34253,125.969018,1948.768954,13377.88442,14805.66533
Point,2012,Stone Harbor Point,SHPT01-1,2012SHPT01-1,410859.2569,69584.12012,1,0,2587.14799,2493.029776,-0.210911,2633.395677,2577.648953,184.377616,9107.509603,1721.62679
Point,2012,Stone Harbor Point,SHPT02-1,2012SHPT02-1,412588.7538,70594.47473,1,0,2870.276121,1106.113821,2.805117,3855.79393,912.817514,413.407098,10385.40874,3719.631744
Point,2012,Stone Harbor Point,SHPT03-1,2012SHPT03-1,412675.2963,71023.95624,1,0,2545.195246,673.219086,2.282527,3437.136568,480.731051,661.679809,10316.49812,4033.345553
Point,2012,Stone Harbor Point,SHPT04-1,2012SHPT04-1,414210.8153,72101.29895,1,0,672.761789,585.324752,3.28084,1787.199237,39.598353,313.964611,11509.22741,5908.961383
Point,2012,Stone Harbor Point,SHPT05-1,2012SHPT05-1,412556.9197,70865.53225,1,0,2731.946913,837.790372,2.308518,3633.431244,659.824664,618.591074,10258.68097,3846.237483
Point,2012,Stone Harbor Point,SHPT06-1,2012SHPT06-1,411668.7263,69984.38538,1,0,3480.871445,1927.485661,3.368329,3528.751341,1785.355758,539.46401,9797.191507,2615.806907
Point,2012,Stone Harbor Point,SHPT07-1,2012SHPT07-1,411463.8649,69880.86465,1,0,3253.489152,2112.199513,3.136483,3301.021261,1982.090356,574.808439,9663.254906,2388.253962
Point,2012,Stone Harbor Point,SHPT08-1,2012SHPT08-1,410973.4446,69941.39887,1,0,2816.509022,2202.75727,2.64342,2866.918958,2230.398012,220.839589,9203.660193,2017.441635
Point,2012,Stone Harbor Point,SHPT09-1,2012SHPT09-1,413954.2478,71516.81562,1,0,1240.101354,771.190356,1.572069,2425.083538,380.02458,0,11396.12026,5367.421919
Point,2012,Stone Harbor Point,SHPT10-1,2012SHPT10-1,412631.1757,70625.30063,1,0,2817.938203,1073.063462,2.806609,3808.915838,870.107557,407.735371,10413.56874,3772.048595
Point,2012,Stone Harbor Point,SHPT11-1,2012SHPT11-1,412760.7769,71386.06566,1,0,2289.265753,312.772785,2.239919,3081.789767,128.32309,813.628684,10284.52116,4308.180723
Point,2012,Stone Harbor Point,SHPT12-1,2012SHPT12-1,412405.276,70513.46075,1,0,3063.835756,1208.186323,2.22368,4014.427506,1025.202679,477.685351,10245.7307,3522.431105
Point,2012,Stone Harbor Point,SHPT13-1,2012SHPT13-1,412654.8745,70941.71141,1,0,2608.053865,755.929768,2.370407,3518.818234,564.663984,608.580949,10324.66775,3970.091674
Point,2012,Stone Harbor Point,SHPT14-1,2012SHPT14-1,411481.1576,69413.91544,1,0,3146.909669,2524.966877,-1.730033,3193.306438,2375.805023,218.791517,9683.400094,2139.146531
Point,2012,Stone Harbor Point,SHPT15-1,2012SHPT15-1,411902.8639,69910.45492,1,0,3680.544085,1911.974039,2.464731,3726.825271,1747.380576,332.679958,10039.4918,2767.441401
Point,2012,Stone Harbor Point,SHPT16-1,2012SHPT16-1,410923.161,69488.86495,1,0,2622.616259,2607.667491,-1.673025,2667.675957,2613.095728,285.282552,9150.243788,1720.665159
